LOCATION,ZIPCODE,REPORTED_DATE,WIND_AVG,PRECIPITATION,SNOW,SNOWDEPTH,TEMP_MAX,TEMP_MIN
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-27,9,0.0,0.0,0.0,85,67
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-28,6,0.85,0.0,0.0,84,69
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-29,6,0.51,0.0,0.0,66,51
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-30,6,0.56,0.0,0.0,73,62
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-31,9,0.0,0.0,0.0,94,71
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-01,5,0.0,0.0,0.0,73,58
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-02,10,0.44,0.0,0.0,93,72
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-03,14,0.0,0.0,0.0,81,63
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-04,10,0.0,0.0,0.0,79,56
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-05,10,0.0,0.0,0.0,68,51
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-06,12,0.14,0.0,0.0,97,78
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-07,6,0.0,0.0,0.0,83,67
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-08,9,0.0,0.0,0.0,88,69
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-09,10,0.0,0.0,0.0,81,61
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-10,8,0.88,0.0,0.0,77,67
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-11,14,0.18,0.0,0.0,80,65
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-12,10,0.0,0.0,0.0,84,66
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-13,11,0.77,0.0,0.0,81,68
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-14,15,0.0,0.0,0.0,85,65
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-15,14,0.0,0.0,0.0,101,67
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-16,11,0.0,0.0,0.0,96,78
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-17,4,0.01,0.0,0.0,73,66
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-18,4,1.34,0.0,0.0,83,74
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-19,6,0.16,0.0,0.0,85,80
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-20,6,0.72,0.0,0.0,77,63
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-21,12,0.65,0.0,0.0,79,64
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-22,17,0.0,0.0,0.0,95,71
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-23,11,0.0,0.0,0.0,90,63
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-24,6,0.0,0.0,0.0,87,62
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-25,7,0.68,0.0,0.0,81,65
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-26,9,0.0,0.0,0.0,92,71
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-27,7,0.0,0.0,0.0,91,71
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-28,6,0.0,0.0,0.0,80,63
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-29,11,0.35,0.0,0.0,102,78
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-06-30,15,0.0,0.0,0.0,84,67
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-07-01,11,0.0,0.0,0.0,98,73
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-07-02,9,0.0,0.0,0.0,90,67
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-07-03,4,0.0,0.0,0.0,73,65
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-07-04,6,0.0,0.0,0.0,94,78
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-07-05,7,0.0,0.0,0.0,91,81
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-07-06,8,0.03,0.0,0.0,89,75
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-07-07,9,0.0,0.0,0.0,89,73
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-07-08,5,0.03,0.0,0.0,88,76
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-07-09,7,0.0,0.0,0.0,87,64
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-07-10,7,0.0,0.0,0.0,75,58
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-07-11,9,1.7,0.0,0.0,99,83
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-07-12,11,0.0,0.0,0.0,88,70
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-07-13,9,0.0,0.0,0.0,93,74
